Date,Grand Total,Territory,Zone,Item Name,Quantity,Amount
10/12/2025,883576.512,T - Nawan Lahore,A - Painsra,Lemon up-1500 ml,208,224640
10/12/2025,883576.512,T - Nawan Lahore,A - Painsra,Cola-1500 ml,641,692280
10/12/2025,883576.512,T - Nawan Lahore,A - Painsra,Cola-1500 ml,399,430920
10/12/2025,985119.632,T - Chaudry Colony (Jhang),A - Jhang-Ii,Cola-1500 ml,520,561600
10/12/2025,985119.632,T - Chaudry Colony (Jhang),A - Jhang-Ii,Cola-2250 ml,600,528000
10/12/2025,985119.632,T - Chaudry Colony (Jhang),A - Jhang-Ii,Lemon up-1500 ml,104,112320
10/12/2025,985119.632,T - Chaudry Colony (Jhang),A - Jhang-Ii,Twister-1500 ml,104,112320
10/12/2025,985119.632,T - Chaudry Colony (Jhang),A - Jhang-Ii,Twister-2250 ml,100,88000
10/12/2025,851089.401,T - Joharabad,A - Joharabad,Juices-Mauj Mango-500 ml,154,147840
10/12/2025,851089.401,T - Joharabad,A - Joharabad,Cola-1500 ml,624,673920
10/12/2025,851089.401,T - Joharabad,A - Joharabad,Lemon up-1500 ml,18,19440
10/12/2025,851089.401,T - Joharabad,A - Joharabad,Lemon up-1500 ml,398,429840
10/12/2025,2278083.226,T - Charsada,A - Charsada,Cola-1000 ml,2016,1572480
10/12/2025,2278083.226,T - Charsada,A - Charsada,Lemon up-1000 ml,2016,1572480
10/12/2025,189840.269,T - Charsada,A - Charsada,Lemon up-1000 ml,336,262080
09/12/2025,879045.987,T - Warburton,A - Nankana Shb,Cola-300 ml,248,178560
09/12/2025,879045.987,T - Warburton,A - Nankana Shb,Cola-1500 ml,104,112320
09/12/2025,879045.987,T - Warburton,A - Nankana Shb,Cola-2250 ml,900,792000
09/12/2025,879045.987,T - Warburton,A - Nankana Shb,Twister-2250 ml,100,88000
09/12/2025,1139041.613,T - Liaqat Colony (Sgd),A - Qainchi Moor (Sgd),Cola-1000 ml,2016,1572480
09/12/2025,883576.512,T - Liaqat Colony (Sgd),A - Qainchi Moor (Sgd),Cola-1500 ml,1248,1347840
09/12/2025,805200,T - Liaqat Colony (Sgd),A - Qainchi Moor (Sgd),Cola-2250 ml,1162.5,1023000
09/12/2025,805200,T - Liaqat Colony (Sgd),A - Qainchi Moor (Sgd),Cola-2250 ml,37.5,33000
09/12/2025,1044121.478,T - KHUSHAB CITY,A - Kushab,Cola-1000 ml,1848,1441440
09/12/2025,1089805.709,T - PANSARA,A - Painsra,Juices-Mauj Mango-500 ml,308,295680
09/12/2025,1089805.709,T - PANSARA,A - Painsra,Cola-300 ml,248,178560
09/12/2025,1089805.709,T - PANSARA,A - Painsra,Cola-1500 ml,624,673920
09/12/2025,1089805.709,T - PANSARA,A - Painsra,Lemon up-300 ml,248,178560
09/12/2025,1089805.709,T - PANSARA,A - Painsra,Lemon up-1500 ml,208,224640
09/12/2025,134200,T - Chaudry Colony (Jhang),A - Jhang-Ii,Cola-2250 ml,62.5,55000
09/12/2025,134200,T - Chaudry Colony (Jhang),A - Jhang-Ii,Cola-2250 ml,137.5,121000
09/12/2025,671000,T - Chaudry Colony (Jhang),A - Jhang-Ii,Cola-2250 ml,1000,880000
09/12/2025,134200,T - Chaudry Colony (Jhang),A - Jhang-Ii,Cola-2250 ml,100,88000
09/12/2025,134200,T - Chaudry Colony (Jhang),A - Jhang-Ii,Lemon up-2250 ml,100,88000
09/12/2025,2183163.091,T - Charsada,A - Charsada,Cola-1000 ml,1848,1441440
09/12/2025,2183163.091,T - Charsada,A - Charsada,Twister-1000 ml,1114,868920
09/12/2025,2183163.091,T - Charsada,A - Charsada,Twister-1000 ml,686,535080
09/12/2025,2183163.091,T - Charsada,A - Charsada,Twister-1000 ml,216,168480
09/12/2025,988076.296,T - Chaudry Colony (Jhang),A - Jhang-Ii,Cola-1000 ml,245,191100
09/12/2025,988076.296,T - Chaudry Colony (Jhang),A - Jhang-Ii,Cola-1500 ml,416,449280
09/12/2025,988076.296,T - Chaudry Colony (Jhang),A - Jhang-Ii,Cola-2250 ml,200,176000
09/12/2025,988076.296,T - Chaudry Colony (Jhang),A - Jhang-Ii,Cola-1000 ml,745,581100
09/12/2025,10170.014,T - Chaudry Colony (Jhang),A - Jhang-Ii,Cola-1000 ml,18,14040
08/12/2025,1255673.29,T - Chakdara (Butkhela),A - Timar Garha,Cola-1000 ml,500,390000
08/12/2025,1255673.29,T - Chakdara (Butkhela),A - Timar Garha,Twister-1500 ml,1185,1279800
08/12/2025,1255673.29,T - Chakdara (Butkhela),A - Timar Garha,Twister-2250 ml,200,176000
08/12/2025,247797.9,T - Chakdara (Butkhela),A - Timar Garha,Twister-1500 ml,350,378000
08/12/2025,846082.886,T - Sacha Soda Farooqabad,A - Farooqabad,Cola-1000 ml,168,131040
08/12/2025,846082.886,T - Sacha Soda Farooqabad,A - Farooqabad,Cola-1500 ml,104,112320
08/12/2025,846082.886,T - Sacha Soda Farooqabad,A - Farooqabad,Cola-2250 ml,600,528000
08/12/2025,846082.886,T - Sacha Soda Farooqabad,A - Farooqabad,Twister-1500 ml,104,112320
08/12/2025,846082.886,T - Sacha Soda Farooqabad,A - Farooqabad,Twister-2250 ml,300,264000
08/12/2025,1139041.613,T - Liaqat Colony (Sgd),A - Qainchi Moor (Sgd),Cola-1000 ml,2016,1572480
08/12/2025,883576.512,T - Liaqat Colony (Sgd),A - Qainchi Moor (Sgd),Cola-1500 ml,1248,1347840
07/12/2025,805200,T - Chaudry Colony (Jhang),A - Jhang-Ii,Cola-2250 ml,1200,1056000
07/12/2025,1030839.264,T - Chaudry Colony (Jhang),A - Jhang-Ii,Cola-1500 ml,1040,1123200
07/12/2025,1030839.264,T - Chaudry Colony (Jhang),A - Jhang-Ii,Lemon up-1500 ml,208,224640
07/12/2025,1030839.264,T - Chaudry Colony (Jhang),A - Jhang-Ii,Twister-1500 ml,208,224640
07/12/2025,763796.352,T - Bucheki Nankana,A - Bucheki,Cola-2250 ml,940,827200
07/12/2025,763796.352,T - Bucheki Nankana,A - Bucheki,Lemon up-2250 ml,200,176000
06/12/2025,2091356.264,T - Lal Kothi (Rwp),A - Chakri Rawalpindi,Juices-Mauj Mango-500 ml,154,147840
06/12/2025,2091356.264,T - Lal Kothi (Rwp),A - Chakri Rawalpindi,Cola-300 ml,992,714240
06/12/2025,2091356.264,T - Lal Kothi (Rwp),A - Chakri Rawalpindi,Cola-500 ml,144,138240
06/12/2025,2091356.264,T - Lal Kothi (Rwp),A - Chakri Rawalpindi,Cola-1000 ml,165,128700
06/12/2025,2091356.264,T - Lal Kothi (Rwp),A - Chakri Rawalpindi,Cola-1500 ml,936,1010880
06/12/2025,2091356.264,T - Lal Kothi (Rwp),A - Chakri Rawalpindi,Cola-2250 ml,200,176000
06/12/2025,2091356.264,T - Lal Kothi (Rwp),A - Chakri Rawalpindi,Lemon up-1500 ml,252,272160
06/12/2025,2091356.264,T - Lal Kothi (Rwp),A - Chakri Rawalpindi,Lemon up-1500 ml,372,401760
06/12/2025,67100,T - KHUSHAB CITY,A - Kushab,Cola-2250 ml,100,88000
06/12/2025,738100,T - KHUSHAB CITY,A - Kushab,Cola-2250 ml,1100,968000
06/12/2025,990771.944,T - Mandi Rurala Road,A - Mandi Rurala,Juices-Mauj Mango-500 ml,154,147840
06/12/2025,990771.944,T - Mandi Rurala Road,A - Mandi Rurala,Cola-500 ml,144,138240
06/12/2025,990771.944,T - Mandi Rurala Road,A - Mandi Rurala,Cola-1000 ml,165,128700
06/12/2025,990771.944,T - Mandi Rurala Road,A - Mandi Rurala,Cola-1500 ml,520,561600
06/12/2025,990771.944,T - Mandi Rurala Road,A - Mandi Rurala,Cola-2250 ml,100,88000
06/12/2025,990771.944,T - Mandi Rurala Road,A - Mandi Rurala,Lemon up-1000 ml,165,128700
06/12/2025,990771.944,T - Mandi Rurala Road,A - Mandi Rurala,Lemon up-1500 ml,208,224640
06/12/2025,1550316.499,T - TARU JABA-PABBI,A - Pabbi,Cola-1000 ml,1176,917280
06/12/2025,1550316.499,T - TARU JABA-PABBI,A - Pabbi,Cola-1500 ml,201,217080
06/12/2025,1550316.499,T - TARU JABA-PABBI,A - Pabbi,Cola-2250 ml,112,98560
06/12/2025,1550316.499,T - TARU JABA-PABBI,A - Pabbi,Lemon up-1000 ml,1008,786240
06/12/2025,1550316.499,T - TARU JABA-PABBI,A - Pabbi,Twister-2250 ml,140,123200
06/12/2025,1550316.499,T - TARU JABA-PABBI,A - Pabbi,Cola-1500 ml,7,7560
